id;symbol;name;base_currency;quote_currency;fee_currency;market;base_min_size;quote_min_size;base_max_size;quote_max_size;base_increment;quote_increment;price_increment;price_limit_rate;min_funds;is_margin_enabled;enable_trading;active
1;Licensed 1080p Falls;Assistant Fresh;Rial quantify ADP;compress indigo SMTP;Data help-desk;Lead;content;EXE;Cambridgeshire;morph;Parkway Account;payment Iowa disintermediate;Plastic Kansas;purple;THX supply-chains;false;false;false
2;monitor payment;alarm bottom-line Burgs;Director;Account Tasty navigating;payment;implementation;next;Tokelau;back-end solid Cambridgeshire;gold;feed salmon infrastructures;Administrator Legacy purple;Tactics;Cambridgeshire;solid Home Baby;false;false;false
3;Realigned;Investor;circuit optimize;Mobility;Practical Polarised;Assistant Chile;system;Diverse Interactions sticky;Granite;Shoals back-end;Integrated hacking;action-items virtual invoice;bricks-and-clicks Berkshire program;experiences;e-business;true;true;true
4;Michigan neural Terrace;Developer Buckinghamshire;Product;Georgia database;Hill HDD;dot-com;Sleek time-frame Digitized;Georgia;Planner Customer Steel;capability reboot Tools;Human transmit withdrawal;green generating;payment global;Dakota Loop exuding;maroon lime whiteboard;true;true;true
5;Accountability Unbranded Frozen;Gloves Vision-oriented National;innovative deliverables SQL;Minnesota bi-directional Legacy;Chicken pixel;Soft productivity Ergonomic;AGP Web;array;collaboration Towels;bandwidth bandwidth;deposit;visionary parsing index;Virginia Washington;Granite Illinois Fantastic;Books Rubber auxiliary;true;false;false
6;initiatives;fresh-thinking innovative bus;Credit Agent Outdoors;payment HTTP Utah;Portugal;Licensed Cambridgeshire paradigms;Springs;content dedicated;Generic Compatible;facilitate Wooden Burundi;Mauritius;Refined Sports;South;synthesize logistical Marketing;Chicken quantify;false;true;false
7;Infrastructure Associate;PCI;Computer SMTP;Strategist applications productize;override;Radial Metal AGP;relationships back-end;SSL up Sausages;Soft RAM;web-enabled;exploit;Kids West;Account;pixel copying applications;holistic Shoes;false;true;false
8;application;Buckinghamshire withdrawal;throughput;Macao Kuna;hacking;transmitting Oregon;scale;Granite Sausages;Hungary system;communities;communities;Virtual Chief payment;purple;Multi-channelled Locks;hacking metrics;true;true;false
9;feed Supervisor Credit;Computer Steel;JSON Bedfordshire;connecting Senior;Wisconsin;Health Coordinator Global;embrace Soft;Steel back-end application;Realigned Cotton Down-sized;Liechtenstein transmit partnerships;line open-source alarm;Data driver reboot;gold;Loan;monitor;true;false;true
10;SQL core;Home National;parsing Connecticut Rial;seize;Usability ubiquitous;programming Analyst Chips;magenta Customer;uniform program hack;database withdrawal;Bacon fresh-thinking Congo;TCP cross-media withdrawal;European;lime Associate quantify;Checking Berkshire olive;e-business Associate Incredible;true;true;false
