id;time;open;close;high;low;volume;turnover;time_type
1;36373;blue;Russian Leu;invoice;programming;deposit;Branding explicit;web-readiness complexity SMS
2;73676;Agent leading EXE;Clothing Electronics Avon;Shirt magenta New;infrastructures Personal JSON;Down-sized Cotton;Savings Small;pixel
3;2752;Zloty Licensed navigating;override holistic;Metal;Checking;Producer TCP;Plastic;action-items
4;78311;Rubber white sexy;Quality group;Islands Marketing;primary SDD;schemas bypassing;Tactics primary;mint
5;53624;Granite Soap;expedite;Grocery;end-to-end Chair;core;Car;Metical
6;3545;Incredible transmit Fantastic;compress Squares Washington;Arizona;Guatemala primary withdrawal;program compressing incubate;Bhutanese;Bulgaria
7;38320;world-class Street;Account Concrete;Automotive program;Dynamic;communities;Tasty Human Idaho;optical
8;13349;drive;Dynamic Ohio compressing;directional Union Steel;Lodge software;Investor out-of-the-box;payment robust Kyat;quantify withdrawal SSL
9;43330;Avon Communications;Fantastic Ohio granular;Yemen;lavender Towels;Fish copying COM;Ergonomic;JBOD Pound virtual
10;88650;Jewelery;platforms;envisioneer GB connecting;Market website Kazakhstan;hour back-end Avon;Orchestrator quantify;California Buckinghamshire
